toho1ʔo,toho1ʔo,V;FIN;REAL;IPFV;1;SG
toho1ʔo,toho1ʔomʔ,V;FIN;REAL;IPFV;1;DU;EXCL
toho1ʔo,toho1ʔoi,V;FIN;REAL;IPFV;1;DU;INCL
toho1ʔo,toho1ʔonʔ,V;FIN;REAL;IPFV;1;PL
toho1ʔo,toho1ʔon,V;FIN;REAL;IPFV;1;PL
toho1ʔo,toho1ʔo,V;FIN;REAL;IPFV;2;SG
toho1ʔo,toho1ʔoi,V;FIN;REAL;IPFV;2;DU
toho1ʔo,toho1ʔon,V;FIN;REAL;IPFV;2;PL
toho1ʔo,loho1ʔo,V;FIN;REAL;IPFV;3;SG
toho1ʔo,loho1ʔoi,V;FIN;REAL;IPFV;3;DU
toho1ʔo,wotho1ʔo,V;FIN;REAL;IPFV;3;PL
toho1ʔo,noho1ʔo,V;FIN;REAL;PFV;1;SG
toho1ʔo,noho1ʔomʔ,V;FIN;REAL;PFV;1;DU;EXCL
toho1ʔo,noho1ʔoi,V;FIN;REAL;PFV;1;DU;INCL
toho1ʔo,noho1ʔonʔ,V;FIN;REAL;PFV;1;PL
toho1ʔo,noho1ʔon,V;FIN;REAL;PFV;1;PL
toho1ʔo,nihyo1ʔo,V;FIN;REAL;PFV;2;SG
toho1ʔo,nihyo1ʔoi,V;FIN;REAL;PFV;2;DU
toho1ʔo,nihyo1ʔon,V;FIN;REAL;PFV;2;PL
toho1ʔo,ndoho1ʔo,V;FIN;REAL;PFV;3;SG
toho1ʔo,ndoho1ʔoi,V;FIN;REAL;PFV;3;DU
toho1ʔo,ndotho1ʔo,V;FIN;REAL;PFV;3;PL
toho1ʔo,loho1ʔo,V;FIN;IRR;POT;1;SG
toho1ʔo,loho1ʔomʔ,V;FIN;IRR;POT;1;DU;EXCL
toho1ʔo,loho1ʔoi,V;FIN;IRR;POT;1;DU;INCL
toho1ʔo,loho1ʔonʔ,V;FIN;IRR;POT;1;PL
toho1ʔo,loho1ʔon,V;FIN;IRR;POT;1;PL
toho1ʔo,kihyo1ʔo,V;FIN;IRR;POT;2;SG
